time,Symbol,rv10,medrv,nobs,open_to_close,rsv_ss,open_time,rsv,rk_twoscale,rv5_ss,rk_th2,open_price,close_price,rv10_ss,rk_parzen,bv_ss,bv,close_time,rv5
03/01/2000,.SPX,0.000164018,5.77E-05,1554,-0.011601764,9.61E-05,83004,9.61E-05,0.000121732,0.000140815,0.000130157,1471.21,1454.24,0.000164018,0.000339926,0.000141046,0.000141046,145959,0.000140815
04/01/2000,.SPX,0.00029482,6.70E-05,1564,-0.035101672,0.000180063,83009,0.000180063,0.000142321,0.000224131,0.000162226,1449,1399.02,0.00029482,0.000215271,0.000173317,0.000173317,150000,0.000224131
05/01/2000,.SPX,0.000267164,0.000141752,1552,0.00462522,0.000130848,83012,0.000130848,0.000219049,0.000314282,0.000239837,1395.62,1402.09,0.000267164,0.000162765,0.000302745,0.000302745,150003,0.000314282
06/01/2000,.SPX,0.000115,7.01E-05,1561,0.002990798,5.57E-05,83005,5.57E-05,0.000126587,0.00013081,0.000132232,1398.87,1403.06,0.000115,6.66E-05,0.000128444,0.000128444,145954,0.00013081
07/01/2000,.SPX,0.00012146,4.93E-05,1540,0.026292786,2.31E-05,83000,2.31E-05,9.09E-05,9.36E-05,9.49E-05,1403.45,1440.84,0.00012146,0.000215485,7.87E-05,7.87E-05,150000,9.36E-05
10/01/2000,.SPX,0.000118612,6.75E-05,1573,0.01060628,3.44E-05,83006,3.44E-05,0.000105645,0.000120213,0.000112111,1441.47,1456.84,0.000118612,0.000211972,0.000135749,0.000135749,145956,0.000120213
11/01/2000,.SPX,6.86E-05,4.66E-05,1523,-0.012615369,4.67E-05,83009,4.67E-05,7.23E-05,6.81E-05,7.45E-05,1456.59,1438.33,6.86E-05,6.86E-05,6.81E-05,6.81E-05,145953,6.81E-05
12/01/2000,.SPX,0.000108399,9.61E-05,1549,-0.004577528,6.67E-05,83001,6.67E-05,0.000110664,0.000123002,0.000114585,1438.56,1431.99,0.000108399,6.90E-05,0.000113253,0.000113253,145949,0.000123002
13/01/2000,.SPX,0.000103631,2.75E-05,1539,0.012227263,2.41E-05,83000,2.41E-05,8.62E-05,0.000101328,9.08E-05,1432.25,1449.87,0.000103631,6.07E-05,5.49E-05,5.49E-05,145958,0.000101328
14/01/2000,.SPX,0.000181629,3.93E-05,1572,0.00973394,3.15E-05,83001,3.15E-05,8.09E-05,0.0001393,8.98E-05,1449.68,1463.86,0.000181629,0.000157183,9.21E-05,9.21E-05,145946,0.0001393
18/01/2000,.SPX,0.000126738,2.20E-05,1544,-0.006669978,6.50E-05,83002,6.50E-05,7.21E-05,9.27E-05,7.56E-05,1465.15,1455.41,0.000126738,7.27E-05,8.13E-05,8.13E-05,145954,9.27E-05
19/01/2000,.SPX,5.90E-05,1.84E-05,1539,0.002558725,2.66E-05,83008,2.66E-05,5.00E-05,4.91E-05,5.12E-05,1451.99,1455.71,5.90E-05,4.33E-05,3.67E-05,3.67E-05,150007,4.91E-05
20/01/2000,.SPX,0.000147368,4.57E-05,1536,-0.007542627,6.60E-05,83003,6.60E-05,0.000106538,0.00012966,0.000110143,1455.9,1444.96,0.000147368,0.000122478,0.000104863,0.000104863,150003,0.00012966
21/01/2000,.SPX,5.51E-05,2.88E-05,1538,-0.0056826,3.11E-05,83009,3.11E-05,4.99E-05,5.03E-05,5.20E-05,1448.87,1440.66,5.51E-05,3.32E-05,5.28E-05,5.28E-05,150009,5.03E-05
24/01/2000,.SPX,0.000217638,8.39E-05,1546,-0.03077274,0.000131428,83013,0.000131428,0.000133309,0.000189534,0.000146922,1444.36,1400.59,0.000217638,0.000333549,0.000177634,0.000177634,150004,0.000189534
25/01/2000,.SPX,0.000189462,0.000134078,1550,0.005677629,6.59E-05,83000,6.59E-05,0.000141987,0.000175694,0.00015499,1401.53,1409.51,0.000189462,0.000144251,0.00016005,0.00016005,145947,0.000175694
26/01/2000,.SPX,6.07E-05,3.19E-05,1535,-0.001956259,3.87E-05,83013,3.87E-05,7.47E-05,6.99E-05,7.56E-05,1407.12,1404.37,6.07E-05,5.03E-05,6.63E-05,6.63E-05,150013,6.99E-05
27/01/2000,.SPX,0.000217021,6.87E-05,1538,-0.003746084,0.000104697,83002,0.000104697,0.000134298,0.000187655,0.000142912,1404.09,1398.84,0.000217021,0.000307876,0.000150808,0.000150808,150001,0.000187655
28/01/2000,.SPX,0.000367271,0.000134874,1540,-0.0258806,0.000175694,83010,0.000175694,0.000205161,0.000278108,0.000225909,1397.73,1362.02,0.000367271,0.000235794,0.000263285,0.000263285,150009,0.000278108
31/01/2000,.SPX,0.0002037,0.000132719,1541,0.024417592,5.56E-05,83008,5.56E-05,0.000169676,0.000189149,0.000180142,1359.73,1393.34,0.0002037,0.000350777,0.000192294,0.000192294,150007,0.000189149
01/02/2000,.SPX,0.00010489,4.48E-05,1538,0.009893197,4.74E-05,83005,4.74E-05,0.000119353,0.000116687,0.000121371,1395.05,1408.92,0.00010489,8.90E-05,0.000104378,0.000104378,145950,0.000116687
02/02/2000,.SPX,9.73E-05,3.16E-05,1539,0.00036196,5.73E-05,83013,5.73E-05,0.00014805,9.42E-05,0.000151101,1408.74,1409.25,9.73E-05,8.44E-05,9.44E-05,9.44E-05,150013,9.42E-05
03/02/2000,.SPX,0.000188895,0.000114866,1541,0.010644856,5.43E-05,83001,5.43E-05,0.000129345,0.000148094,0.000135129,1409.12,1424.2,0.000188895,0.000173111,0.000148599,0.000148599,150001,0.000148094
04/02/2000,.SPX,8.85E-05,3.28E-05,1541,-0.002145924,3.92E-05,83009,3.92E-05,6.53E-05,6.75E-05,6.83E-05,1427.49,1424.43,8.85E-05,6.84E-05,5.50E-05,5.50E-05,150009,6.75E-05
07/02/2000,.SPX,5.62E-05,2.87E-05,1549,-0.001227945,3.24E-05,83003,3.24E-05,6.63E-05,6.02E-05,6.90E-05,1426.02,1424.27,5.62E-05,6.05E-05,6.09E-05,6.09E-05,145954,6.02E-05
08/02/2000,.SPX,0.000111093,2.78E-05,1558,0.01162958,1.88E-05,83007,1.88E-05,6.05E-05,9.10E-05,6.78E-05,1424.24,1440.9,0.000111093,0.000121554,6.42E-05,6.42E-05,145955,9.10E-05
09/02/2000,.SPX,0.000114162,4.24E-05,1541,-0.022042469,6.99E-05,83024,6.99E-05,0.000101299,9.31E-05,0.00010451,1443.95,1412.47,0.000114162,0.000161444,9.92E-05,9.92E-05,150023,9.31E-05
10/02/2000,.SPX,0.000102399,4.93E-05,1537,0.001604416,5.60E-05,83007,5.60E-05,0.000112413,0.000116883,0.000115994,1413.71,1415.98,0.000102399,7.58E-05,0.000114603,0.000114603,150006,0.000116883
11/02/2000,.SPX,9.92E-05,6.58E-05,1359,-0.024818578,7.99E-05,83015,7.99E-05,9.93E-05,0.000102716,0.000105689,1415.16,1380.47,9.92E-05,0.000191981,0.000106075,0.000106075,141726,0.000102716
14/02/2000,.SPX,8.89E-05,5.11E-05,1541,-0.000251818,4.02E-05,83009,4.02E-05,9.11E-05,9.38E-05,9.63E-05,1390.07,1389.72,8.89E-05,6.84E-05,9.28E-05,9.28E-05,150009,9.38E-05
15/02/2000,.SPX,0.000142027,7.00E-05,1540,0.009182196,5.28E-05,83008,5.28E-05,0.000108108,0.000131203,0.000115784,1389.78,1402.6,0.000142027,0.000148121,0.000134672,0.000134672,145953,0.000131203
